А112Т4;Прокляты и убиты;шт.;585;Виктор Астафьев;Яуза;Художественная литература;25;6;"Роман-эпопею ""Прокляты и убиты"" Виктора Астафьева по праву считают одним из самых сильных и пронзительных произведений отечественной военной прозы.";1.jpg
G843H5;Тайны и загадки отца БраунаТайны и загадки отца Брауна;шт.;193;Гилберт Кит Честертон;Яуза;Художественная литература;30;9;Гилберт Кит Честертон — признанный классик английской литературы, один из самых ярких писателей первой половины XX века. Классикой стали его романы и многочисленные эссе, однако любовь массового читателя принесли ему рассказы об отце Брауне, тихом, застенчивом священнике, мастерски раскрывающем наиболее запутанные загадки и преступления. ;2.jpg
D325D4;Девайс;шт.;1599;Кирилл Каланджи;Т8 Издательские технологии;Художественная литература;5;12;Молодой фрилансер Захар Скаро устраивается на очередную подработку. Задача, казалось бы, тривиальная: тестирование нового устройства. Вот только вопрос в том, тестированием какой реальности занимается этот новый Девайс?;3.jpg
S432T5;Необыкновенное обыкновенное чудо. Школьные истории;шт.;549;Людмила Улицкая;Т8 Издательские технологии;Художественная литература;15;15;;4.jpg
F325D4;Чук и Гек;шт.;209;Аркадий Гайдар;Т8 Издательские технологии;Художественная литература;18;3;"В книгу вошли повести и рассказы Аркадия Петровича Гайдара: ""Чук и Гек"", ""Горячий камень"" и ""Сказка о военной тайне, о Мальчише-Кибальчише и его твердом слове""";5.jpg
G432G6;Информационная безопасность. Национальные стандарты Российской Федерации. 3-е издание. Учебное пособие;шт.;3899;Юрий Родичев;Прогресс книга;Учебник для вузов;22;3;В учебном пособии рассмотрено более 300 действующих открытых документов национальной системы стандартизации Российской Федерации, включая международные и межгосударственные стандарты в области информационной безопасности по состоянию на начало 2023 года.;6.jpg
H542F5;Linux. Командная строка. Лучшие практики;шт.;1799;Дэниел Джей Барретт;Прогресс книга;Учебник для вузов;4;5;Перейдите на новый уровень работы в Linux! Если вы системный администратор, разработчик программного обеспечения, SRE-инженер или пользователь Linux, книга поможет вам работать быстрее, элегантнее и эффективнее. ;7.jpg
C346F5;Квантовые миры и возникновение пространства-времени;шт.;1349;Шон Кэрролл;Прогресс книга;Учебник для вузов;5;4;Шон Кэрролл — физик-теоретик и один из самых известных в мире популяризаторов науки — заставляет нас по-новому взглянуть на физику. Столкновение с главной загадкой квантовой механики полностью поменяет наши представления о пространстве и времени.;8.jpg
F256G6;Вселенная. Происхождение жизни, смысл нашего существования и огромный космос;шт.;1799;Шон Кэрролл;Прогресс книга;Учебник для вузов;6;2;Знаменитый физик Шон Кэрролл в свойственной ему увлекательной манере объясняет принципы, которые лежат в основах научных революций от Дарвина до Эйнштейна, и показывает как невероятные научные открытия последнего столетия изменили наш мир.;
J532V5;Пушкин. Бродский. Империя и судьба. В 2-х томах (комплект из 2-х книг);шт.;529;Яков Гордин;Время;Хрестоматия;8;6;Первая книга двухтомника «Пушкин. Бродский. Империя и судьба» пронизана пушкинской темой. Пушкин — «певец империи и свободы» — присутствует даже там, где он впрямую не упоминается, ибо его судьба, как и судьба других героев книги, органично связана с трагедией великой империи.;10.jpg
G643F4;Иосиф Бродский. Избранные эссе (комплект из 6-ти книг);шт.;4925;Иосиф Бродский;"Лениздат";Хрестоматия;2;24;Шесть сборников избранных эссе Иосифа Бродского (1940-1996), великого поэта, драматурга, мыслителя, лауреата Нобелевской премии по литературе (1987): «Будущее или далекое прошлое», «Верь своей боли», «Как читать книгу», «О русской литературе», «О тирании», «Путеводитель по переименованному городу». Все тексты представлены на английском языке и в переводе на русский и открывают автора не только как поэта, но как историка, критика, и глубокого и ироничного мыслителя.;11.jpg
J326V5;Тысячелетие императорской керамикиv;шт.;2599;Янь Чуннянь Янь Чуннянь;"Лениздат";Хрестоматия;5;4;Фарфор стал величайшим символом китайской культуры. Это одно из выдающихся изобретений, внесших неоценимый вклад в мировую цивилизацию. ;12.jpg
J632F6;Вечные спутники: Портреты из всемирной литературы;шт.;1599;Дмитрий Мережковский;"Лениздат";Хрестоматия;0;6;"Книга ""Вечные спутники"" - это цикл критических очерков о культуре и великих литераторах, сопровождавших жизнь и творчество русского писателя, поэта, литературного критика и общественного деятеля Дмитрия Мережковского (1865–1941). ";13.jpg
G632H6;Формирование литературной репутации Н.Г.Чернышевского в ХIX-XXI веках;шт.;1349;Дмитрий Щербаков;Неолит;Хрестоматия;2;8;"Монография Д. А. Щербакова - новаторская. Поэтапно рассмотрены не только многочисленные суждения известных отечественных и зарубежных критиков, литературоведов, философов и политиков, различным образом характеризовавших Н. Г. Чернышевского в связи и вне связи со знаменитым романом ""Что делать? ";14.jpg
M642E5;Теория искусства. Краткий путеводитель;шт.;879;Роджер Осборн, Дэн Стерджис;Неолит;Хрестоматия;3;2;;15.jpg
G543F5;Религиозные верования с древнейших времен до наших дней;шт.;879;Дмитрий Щербаков;Амрита-Русь;Хрестоматия;4;6;Настоящее издание представляет собой сборник переводов лекций по истории дохристианских и нехристианских религий, прочитанных в Лондоне в период с 1888 по 1891 гг. авторитетными исследователями данного раздела религиоведения. ;16.jpg
B653G6;Русский язык: Первые шаги. Часть 3. Учебное пособие;шт.;2699;Любовь Беликова, Инна Ерофеева, Татьяна Шутова;Златоуст;Учебное пособие;8;9;Пособие является завершающей частью учебного комплекса. Третья часть содержит 10 уроков (21-30, последний-повторительный). Усвоение лексико-грамматического материала рассчитано примерно на 200-240 часов аудиторных занятий. ;17.jpg
